Character,Category,Hash40,String,Specific (Done: 82.34%),General (Done: 57.75%),English (Done: 44.91%),Comments
Pikachu,Movement,0x047dee83e5,wait,idle,idle,Idle,
Pikachu,Movement,0x06e395aa39,wait_2,idle,idle,Idle,
Pikachu,Movement,0x0694929aaf,wait_3,idle,idle,Idle,
Pikachu,Movement,0x09eeaf3544,walk_slow,walk,walk,Walk,
Pikachu,Movement,0x0b4fb275bd,walk_middle,walk,walk,Walk,
Pikachu,Movement,0x09fece0d5d,walk_fast,walk,walk,Walk,
Pikachu,Movement,0x049b6edd00,dash,initial_dash,dash,Dash,
Pikachu,Movement,0x09e696ecad,turn_dash,turn_dash,dash,Dash,
Pikachu,Movement,0x035076a4c0,run,,run,Run,
Pikachu,Movement,0x08afd9b84f,turn_run,,run,Run,
Pikachu,Movement,0x0ecbdbc635,turn_run_brake,skid,skid,Skid,
Pikachu,Movement,0x0be0831584,run_brake_l,skid,skid,Skid,
Pikachu,Movement,0x0b1a8c28e7,run_brake_r,skid,skid,Skid,
Pikachu,Movement,0x05d267ef83,squat,,crouch,Crouch,
Pikachu,Movement,0x0aa60712ea,squat_wait,squat_wait,crouch,Crouch,
Pikachu,Movement,0x08d58dc131,squat_rv,uncrouch,crouch,Crouch,
Pikachu,Movement,0x0b38c9ab48,jump_f_mini,sh,jump,Jump,
Pikachu,Movement,0x0d0b71815b,jump_aerial_f,dj,jump,Jump,
Pikachu,Movement,0x062dd02058,jump_f,fh,jump,Jump,
Pikachu,Movement,0x0d0c1c4542,jump_aerial_b,dj,jump,Jump,
Pikachu,Movement,0x062abde441,jump_b,fh,jump,Jump,
Pikachu,Movement,0x0ba358e95e,jump_b_mini,sh,jump,Jump,
Pikachu,Movement,0x0ad160bda8,jump_squat,jump_squat,jump,Jump,
Pikachu,Movement,0x1117c77017,,wj,,Wall Jump,
Pikachu,Movement,0x04fb50df0c,fall,,fall,Fall,
Pikachu,Movement,0x0b29e5172c,fall_aerial,no_dj,fall,Fall,
Pikachu,Movement,0x0c016dd1c6,fall_special,,freefall,Free Fall,
Pikachu,Movement,0x0dd934faa1,landing_light,,land,Land,
Pikachu,Movement,0x0dc81fdc09,landing_heavy,,land,Land,
Pikachu,Movement,0x1447a7e8cc,landing_fall_special,,land,Land,
Pikachu,Movement,0x0c3ce6adce,,,teeter,Teeter,
Pikachu,Movement,0x07da900d48,ottotto,,teeter,Teeter,
Pikachu,Movement,0x0b53156a7c,,walkoff,ledgeslip,Walk Off,
Pikachu,Movement,0x0a881b3433,,,runoff,Run Off,
Pikachu,Movement,0x0420201547,turn,,turnaround,Turn Around,
Pikachu,Movement,0x04ce70d424,pass,platdrop,drop,Platdrop,
Pikachu,Ground Attacks,0x099c52257e,attack_11,,jab,Jab,
Pikachu,Ground Attacks,0x0b7dd72b57,attack_s3_s,fftilt,ftilt,Forward Tilt,
Pikachu,Ground Attacks,0x0cba28ee97,attack_s3_hi,uftilt,ftilt,Forward Tilt,
Pikachu,Ground Attacks,0x0c244b16f0,attack_s3_lw,dftilt,ftilt,Forward Tilt,
Pikachu,Ground Attacks,0x0a18b4d5e5,attack_lw3,,dtilt,Down Tilt,
Pikachu,Ground Attacks,0x0acbfc42e6,attack_hi3,,utilt,Up Tilt,
Pikachu,Ground Attacks,0x0b6c751ced,attack_dash,,da,Dash Attack,
Pikachu,Ground Attacks,0x0b78983dd2,attack_s4_s,fsmash,fsmash,Forward Smash,
Pikachu,Ground Attacks,0x0ea274b695,attack_s4_hold,charge_fsmash,fsmash,Forward Smash,
Pikachu,Ground Attacks,0x0a5598d745,attack_hi4,,usmash,Up Smash,
Pikachu,Ground Attacks,0x0f5db36b5c,attack_hi4_hold,charge_usmash,usmash,Up Smash,
Pikachu,Ground Attacks,0x0a86d04046,attack_lw4,,dsmash,Down Smash,
Pikachu,Ground Attacks,0x0fee188235,attack_lw4_hold,charge_dsmash,dsmash,Down Smash,
Pikachu,Aerial Attacks,0x0c3a4e2597,attack_air_n,anair,nair,Neutral Air,
Pikachu,Aerial Attacks,0x0d562c06c5,landing_air_n,lnair,nair,Neutral Air,
Pikachu,Aerial Attacks,0x0dde67d935,attack_air_hi,auair,uair,Up Air,
Pikachu,Aerial Attacks,0x0e5b6e8bce,landing_air_hi,luair,uair,Up Air,
Pikachu,Aerial Attacks,0x0d40042152,attack_air_lw,adair,dair,Down Air,
Pikachu,Aerial Attacks,0x0ec50d73a9,landing_air_lw,ldair,dair,Down Air,
Pikachu,Aerial Attacks,0x0c33f869bc,attack_air_b,abair,bair,Back Air,
Pikachu,Aerial Attacks,0x0d5f9a4aee,landing_air_b,lbair,bair,Back Air,
Pikachu,Aerial Attacks,0x0c3495ada5,attack_air_f,afair,fair,Forward Air,
Pikachu,Aerial Attacks,0x0d58f78ef7,landing_air_f,lfair,fair,Forward Air,
Pikachu,Special Attacks,0x0915c5de42,special_n,,tjolt,Thunder Jolt,
Pikachu,Special Attacks,0x0d483c0ed2,special_air_n,,tjolt,Thunder Jolt,
Pikachu,Special Attacks,0x105c3c1e76,special_hi_start,qa1,qa,Quick Attack,
Pikachu,Special Attacks,0x14dd899136,special_air_hi_start,qa1,qa,Quick Attack,
Pikachu,Special Attacks,0x0ff4037c3f,special_air_hi1,qa1,qa,Quick Attack,
Pikachu,Special Attacks,0x0f6d0a2d85,special_air_hi2,qa2,qa,Quick Attack,
Pikachu,Special Attacks,0x12eeb17698,special_air_hi_end,,qa,Quick Attack,
Pikachu,Special Attacks,0x0e46c0e666,special_air_lw,bolt,thunder,Thunder,
Pikachu,Special Attacks,0x12f0de089d,special_air_lw_hit,blue,thunder,Thunder,
Pikachu,Special Attacks,0x0ab6928cf2,special_lw,bolt,thunder,Thunder,
Pikachu,Special Attacks,0x0eb28cfd52,special_lw_hit,blue,thunder,Thunder,
Pikachu,Special Attacks,0x1337fadc39,special_air_s_start,,sideb,Skull Bash,
Pikachu,Special Attacks,0x0976c3b29b,special_s,,sideb,Skull Bash,
Pikachu,Special Attacks,0x1630d60080,special_air_s_miss_end,,sideb,Skull Bash,
Pikachu,Special Attacks,0x1158d0953d,special_air_s_end,,sideb,Skull Bash,
Pikachu,Special Attacks,0x12fb9ceeaa,special_air_s_hold,,sideb,Skull Bash,
Pikachu,Special Attacks,0x12db604f69,special_air_s_weak,,sideb,Skull Bash,
Pikachu,Special Attacks,0x0db8bd3614,special_s_end,,sideb,Skull Bash,
Pikachu,Special Attacks,0x0f3c6351ed,special_s_start,,sideb,Skull Bash,
Pikachu,Grabs,0x0aeaab5d22,catch_pull,,grab,Grab,
Pikachu,Grabs,0x0a02480224,catch_wait,,grab,Grab,
Pikachu,Grabs,0x0ae4c85cc1,catch_dash,dash_grab,grab,Grab,
